source,summary_id,role,dim,worker_1,worker_2,val_1,val_2,abs_diff
FINAL_code_prompts_64_base,86,base_A,info,A2MXMG0VILAXHN,A10ITMSISY6KI4,0.25,0.25,0.0
FINAL_code_prompts_64_base,86,base_A,info,A2MXMG0VILAXHN,AV2FEMCB6VR9C,0.25,0.25,0.0
FINAL_code_prompts_64_base,86,base_A,info,A10ITMSISY6KI4,AV2FEMCB6VR9C,0.25,0.25,0.0
FINAL_code_prompts_64_base,86,base_B,faith,A2MXMG0VILAXHN,A10ITMSISY6KI4,1.0,1.0,0.0
FINAL_code_prompts_64_base,86,base_B,faith,A2MXMG0VILAXHN,AV2FEMCB6VR9C,1.0,1.0,0.0
FINAL_code_prompts_64_base,86,base_B,faith,A10ITMSISY6KI4,AV2FEMCB6VR9C,1.0,1.0,0.0
FINAL_code_prompts_64_base,86,base_B,info,A2MXMG0VILAXHN,A10ITMSISY6KI4,0.5,0.25,0.25
FINAL_code_prompts_64_base,86,base_B,info,A2MXMG0VILAXHN,AV2FEMCB6VR9C,0.5,0.25,0.25
FINAL_code_prompts_64_base,86,base_B,info,A10ITMSISY6KI4,AV2FEMCB6VR9C,0.25,0.25,0.0
FINAL_code_prompts_64_base,86,candidate,faith,A2MXMG0VILAXHN,A10ITMSISY6KI4,1.0,1.0,0.0
FINAL_code_prompts_64_base,86,candidate,faith,A2MXMG0VILAXHN,AV2FEMCB6VR9C,1.0,0.25,0.75
FINAL_code_prompts_64_base,86,candidate,faith,A10ITMSISY6KI4,AV2FEMCB6VR9C,1.0,0.25,0.75
FINAL_code_prompts_64_base,86,candidate,info,A2MXMG0VILAXHN,A10ITMSISY6KI4,0.25,0.0,0.25
FINAL_code_prompts_64_base,86,candidate,info,A2MXMG0VILAXHN,AV2FEMCB6VR9C,0.25,0.25,0.0
FINAL_code_prompts_64_base,86,candidate,info,A10ITMSISY6KI4,AV2FEMCB6VR9C,0.0,0.25,0.25
FINAL_code_prompts_64_base,93,base_A,faith,A29UJ24PQN7M03,A1OICS57HEYI7X,1.0,1.0,0.0
FINAL_code_prompts_64_base,93,base_A,info,A29UJ24PQN7M03,A1OICS57HEYI7X,0.75,0.75,0.0
FINAL_code_prompts_64_base,93,base_B,faith,A29UJ24PQN7M03,A1OICS57HEYI7X,1.0,1.0,0.0
FINAL_code_prompts_64_base,93,base_B,info,A29UJ24PQN7M03,A1OICS57HEYI7X,0.75,0.75,0.0
FINAL_code_prompts_64_base,93,candidate,faith,A29UJ24PQN7M03,A1OICS57HEYI7X,0.5,0.25,0.25
FINAL_code_prompts_64_base,93,candidate,info,A29UJ24PQN7M03,A1OICS57HEYI7X,0.25,0.25,0.0
FINAL_random_prompts_64_base,85,base_A,faith,A38COD77T1M1VZ,A2RNBTFUZ7GN4Y,0.0,0.0,0.0
FINAL_random_prompts_64_base,85,base_A,faith,A38COD77T1M1VZ,AM0JKZVOEOTMA,0.0,1.0,1.0
FINAL_random_prompts_64_base,85,base_A,faith,A2RNBTFUZ7GN4Y,AM0JKZVOEOTMA,0.0,1.0,1.0
FINAL_random_prompts_64_base,85,base_A,info,A38COD77T1M1VZ,A2RNBTFUZ7GN4Y,0.0,0.0,0.0
FINAL_random_prompts_64_base,85,base_A,info,A38COD77T1M1VZ,AM0JKZVOEOTMA,0.0,0.25,0.25
FINAL_random_prompts_64_base,85,base_A,info,A2RNBTFUZ7GN4Y,AM0JKZVOEOTMA,0.0,0.25,0.25
FINAL_random_prompts_64_base,85,base_B,faith,A38COD77T1M1VZ,A2RNBTFUZ7GN4Y,1.0,1.0,0.0
FINAL_random_prompts_64_base,85,base_B,faith,A38COD77T1M1VZ,AM0JKZVOEOTMA,1.0,1.0,0.0
FINAL_random_prompts_64_base,85,base_B,faith,A2RNBTFUZ7GN4Y,AM0JKZVOEOTMA,1.0,1.0,0.0
FINAL_random_prompts_64_base,85,base_B,info,A38COD77T1M1VZ,A2RNBTFUZ7GN4Y,0.25,0.25,0.0
FINAL_random_prompts_64_base,85,base_B,info,A38COD77T1M1VZ,AM0JKZVOEOTMA,0.25,0.25,0.0
FINAL_random_prompts_64_base,85,base_B,info,A2RNBTFUZ7GN4Y,AM0JKZVOEOTMA,0.25,0.25,0.0
FINAL_random_prompts_64_base,85,candidate,faith,A38COD77T1M1VZ,A2RNBTFUZ7GN4Y,0.0,0.0,0.0
FINAL_random_prompts_64_base,85,candidate,faith,A38COD77T1M1VZ,AM0JKZVOEOTMA,0.0,0.25,0.25
FINAL_random_prompts_64_base,85,candidate,faith,A2RNBTFUZ7GN4Y,AM0JKZVOEOTMA,0.0,0.25,0.25
FINAL_random_prompts_64_base,85,candidate,info,A38COD77T1M1VZ,A2RNBTFUZ7GN4Y,0.0,0.0,0.0
FINAL_random_prompts_64_base,85,candidate,info,A38COD77T1M1VZ,AM0JKZVOEOTMA,0.0,0.0,0.0
FINAL_random_prompts_64_base,85,candidate,info,A2RNBTFUZ7GN4Y,AM0JKZVOEOTMA,0.0,0.0,0.0
FINAL_random_prompts_64_base,88,base_A,faith,A255B1K2HJBGQI,AOS2JUTR7Q0I4,1.0,1.0,0.0
FINAL_random_prompts_64_base,88,base_A,info,A255B1K2HJBGQI,AOS2JUTR7Q0I4,0.25,0.5,0.25
FINAL_random_prompts_64_base,88,base_B,faith,A255B1K2HJBGQI,AOS2JUTR7Q0I4,1.0,1.0,0.0
FINAL_random_prompts_64_base,88,base_B,info,A255B1K2HJBGQI,AOS2JUTR7Q0I4,0.25,0.5,0.25
FINAL_random_prompts_64_base,88,candidate,faith,A255B1K2HJBGQI,AOS2JUTR7Q0I4,0.0,0.75,0.75
FINAL_random_prompts_64_base,88,candidate,info,A255B1K2HJBGQI,AOS2JUTR7Q0I4,0.0,0.25,0.25
FINAL_story_prompts_64_base,65,base_A,faith,A8SH5B4RL818A,A1DVKS3R9SLQ1H,0.75,0.0,0.75
FINAL_story_prompts_64_base,65,base_A,info,A8SH5B4RL818A,A1DVKS3R9SLQ1H,0.25,0.5,0.25
FINAL_story_prompts_64_base,65,base_B,faith,A8SH5B4RL818A,A1DVKS3R9SLQ1H,0.25,0.75,0.5
FINAL_story_prompts_64_base,65,base_B,info,A8SH5B4RL818A,A1DVKS3R9SLQ1H,0.75,1.0,0.25
FINAL_story_prompts_64_base,65,candidate,faith,A8SH5B4RL818A,A1DVKS3R9SLQ1H,1.0,0.0,1.0
FINAL_story_prompts_64_base,65,candidate,info,A8SH5B4RL818A,A1DVKS3R9SLQ1H,0.75,0.0,0.75
FINAL_story_prompts_64_base,66,base_A,faith,A1DZXXX70IZ16F,A1XO6ONCCTBMKW,1.0,0.75,0.25
FINAL_story_prompts_64_base,66,base_A,info,A1DZXXX70IZ16F,A1XO6ONCCTBMKW,0.75,0.5,0.25
FINAL_story_prompts_64_base,66,base_B,faith,A1DZXXX70IZ16F,A1XO6ONCCTBMKW,1.0,0.5,0.5
FINAL_story_prompts_64_base,66,base_B,info,A1DZXXX70IZ16F,A1XO6ONCCTBMKW,1.0,0.5,0.5
FINAL_story_prompts_64_base,66,candidate,faith,A1DZXXX70IZ16F,A1XO6ONCCTBMKW,0.0,0.75,0.75
FINAL_story_prompts_64_base,66,candidate,info,A1DZXXX70IZ16F,A1XO6ONCCTBMKW,0.25,0.75,0.5
FINAL_story_prompts_64_base,67,base_A,faith,AT1NVDD4R3NI2,A2K2T23JWSB8R4,0.5,0.75,0.25
FINAL_story_prompts_64_base,67,base_A,info,AT1NVDD4R3NI2,A2K2T23JWSB8R4,0.25,0.75,0.5
FINAL_story_prompts_64_base,67,base_B,faith,AT1NVDD4R3NI2,A2K2T23JWSB8R4,0.5,0.5,0.0
FINAL_story_prompts_64_base,67,base_B,info,AT1NVDD4R3NI2,A2K2T23JWSB8R4,0.25,0.5,0.25
FINAL_story_prompts_64_base,67,candidate,faith,AT1NVDD4R3NI2,A2K2T23JWSB8R4,0.0,0.5,0.5
FINAL_story_prompts_64_base,67,candidate,info,AT1NVDD4R3NI2,A2K2T23JWSB8R4,0.0,0.75,0.75
FINAL_story_prompts_64_base,81,base_A,faith,A30MAXFBIR87CT,AW5XAYQ4ONESO,0.5,0.25,0.25
FINAL_story_prompts_64_base,81,base_A,info,A30MAXFBIR87CT,AW5XAYQ4ONESO,0.25,0.5,0.25
FINAL_story_prompts_64_base,81,base_B,faith,A30MAXFBIR87CT,AW5XAYQ4ONESO,1.0,1.0,0.0
FINAL_story_prompts_64_base,81,base_B,info,A30MAXFBIR87CT,AW5XAYQ4ONESO,0.75,0.75,0.0
FINAL_story_prompts_64_base,81,candidate,faith,A30MAXFBIR87CT,AW5XAYQ4ONESO,0.75,0.5,0.25
FINAL_story_prompts_64_base,81,candidate,info,A30MAXFBIR87CT,AW5XAYQ4ONESO,0.25,0.25,0.0
FINAL_story_prompts_64_base,82,base_A,faith,A1MSSSMJSRCXZM,A2RNBTFUZ7GN4Y,1.0,1.0,0.0
FINAL_story_prompts_64_base,82,base_A,info,A1MSSSMJSRCXZM,A2RNBTFUZ7GN4Y,0.25,0.25,0.0
FINAL_story_prompts_64_base,82,base_B,faith,A1MSSSMJSRCXZM,A2RNBTFUZ7GN4Y,1.0,1.0,0.0
FINAL_story_prompts_64_base,82,base_B,info,A1MSSSMJSRCXZM,A2RNBTFUZ7GN4Y,1.0,0.25,0.75
FINAL_story_prompts_64_base,82,candidate,faith,A1MSSSMJSRCXZM,A2RNBTFUZ7GN4Y,1.0,1.0,0.0
FINAL_story_prompts_64_base,82,candidate,info,A1MSSSMJSRCXZM,A2RNBTFUZ7GN4Y,0.25,0.25,0.0
FINAL_story_prompts_64_base,83,base_A,faith,A2FEE4P51MZUN,A2XUDLPH6O02IZ,1.0,0.75,0.25
FINAL_story_prompts_64_base,83,base_A,faith,A2FEE4P51MZUN,A2K2T23JWSB8R4,1.0,0.5,0.5
FINAL_story_prompts_64_base,83,base_A,faith,A2XUDLPH6O02IZ,A2K2T23JWSB8R4,0.75,0.5,0.25
FINAL_story_prompts_64_base,83,base_A,info,A2FEE4P51MZUN,A2XUDLPH6O02IZ,0.75,0.5,0.25
FINAL_story_prompts_64_base,83,base_A,info,A2FEE4P51MZUN,A2K2T23JWSB8R4,0.75,0.5,0.25
FINAL_story_prompts_64_base,83,base_A,info,A2XUDLPH6O02IZ,A2K2T23JWSB8R4,0.5,0.5,0.0
FINAL_story_prompts_64_base,83,base_B,faith,A2FEE4P51MZUN,A2XUDLPH6O02IZ,1.0,1.0,0.0
FINAL_story_prompts_64_base,83,base_B,faith,A2FEE4P51MZUN,A2K2T23JWSB8R4,1.0,0.5,0.5
FINAL_story_prompts_64_base,83,base_B,faith,A2XUDLPH6O02IZ,A2K2T23JWSB8R4,1.0,0.5,0.5
FINAL_story_prompts_64_base,83,base_B,info,A2FEE4P51MZUN,A2XUDLPH6O02IZ,0.75,0.5,0.25
FINAL_story_prompts_64_base,83,base_B,info,A2FEE4P51MZUN,A2K2T23JWSB8R4,0.75,0.5,0.25
FINAL_story_prompts_64_base,83,base_B,info,A2XUDLPH6O02IZ,A2K2T23JWSB8R4,0.5,0.5,0.0
FINAL_story_prompts_64_base,83,candidate,faith,A2FEE4P51MZUN,A2XUDLPH6O02IZ,0.0,0.0,0.0
FINAL_story_prompts_64_base,83,candidate,faith,A2FEE4P51MZUN,A2K2T23JWSB8R4,0.0,0.0,0.0
FINAL_story_prompts_64_base,83,candidate,faith,A2XUDLPH6O02IZ,A2K2T23JWSB8R4,0.0,0.0,0.0
FINAL_story_prompts_64_base,83,candidate,info,A2FEE4P51MZUN,A2XUDLPH6O02IZ,0.25,0.0,0.25
FINAL_story_prompts_64_base,83,candidate,info,A2FEE4P51MZUN,A2K2T23JWSB8R4,0.25,0.0,0.25
FINAL_story_prompts_64_base,83,candidate,info,A2XUDLPH6O02IZ,A2K2T23JWSB8R4,0.0,0.0,0.0
FINAL_story_prompts_64_base,91,base_A,faith,A3R5LSXO1E9POT,A2UCKTQA75NU3F,1.0,1.0,0.0
FINAL_story_prompts_64_base,91,base_A,info,A3R5LSXO1E9POT,A2UCKTQA75NU3F,0.25,0.25,0.0
FINAL_story_prompts_64_base,91,base_B,faith,A3R5LSXO1E9POT,A2UCKTQA75NU3F,1.0,1.0,0.0
FINAL_story_prompts_64_base,91,base_B,info,A3R5LSXO1E9POT,A2UCKTQA75NU3F,0.25,0.25,0.0
FINAL_story_prompts_64_base,91,candidate,faith,A3R5LSXO1E9POT,A2UCKTQA75NU3F,0.25,1.0,0.75
FINAL_story_prompts_64_base,91,candidate,info,A3R5LSXO1E9POT,A2UCKTQA75NU3F,0.0,0.25,0.25
